FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,TX,620,L6,00,000,0050238,620L600US48001,48001,3,7,48,01779801,001,8082192945,225277398,1,State House District 1,N,164927,73403,+33.5468275,-095.0360613,LL,48001,164927,153553,110799,31858,1812,1694,126,7264,11374,10778,2116,3824,394,58,3728,273,56,15,206,3,2,69,17,15,2,529,197,42,11,82,19,7,103,13,13,5,17,1,7,4,4,0,0,0,3,1,47,5,0,7,4,0,0,1,9,0,17,2,1,0,1,0,20,12,6,0,0,2,0,0,0,164927,14235,150692,142924,107584,31594,1446,1675,100,525,7768,7415,2027,3658,370,55,863,253,54,13,100,0,2,1,16,2,1,328,179,25,10,29,16,2,15,13,4,3,17,0,6,4,4,0,0,0,0,1,18,5,0,5,4,0,0,0,3,0,0,1,0,0,0,0,7,4,3,0,0,0,0,0,0,127239,120240,88698,23642,1352,1325,88,5135,6999,6676,641,2879,208,43,2507,182,26,10,118,1,2,38,11,8,2,280,119,19,0,37,4,2,53,8,10,1,17,1,4,0,4,0,0,0,0,1,32,2,0,6,2,0,0,1,2,0,17,2,0,0,0,0,11,6,5,0,0,0,0,0,0,127239,9382,117857,112999,86702,23520,1095,1309,69,304,4858,4655,621,2792,202,41,705,179,26,8,65,0,2,0,11,2,1,187,114,10,0,14,4,2,6,8,4,0,17,0,3,0,4,0,0,0,0,1,12,2,0,5,2,0,0,0,2,0,0,1,0,0,0,0,4,1,3,0,0,0,0,0,0,73403,64835,8568,6534,6078,4940,0,1138,0,456,261,0,195
PLST,TX,620,L6,00,000,0050239,620L600US48002,48002,3,7,48,01779801,002,6346553121,217544471,2,State House District 2,N,196284,81778,+33.1480304,-096.0409933,LL,48002,196284,176811,147994,11961,2057,1581,199,13019,19473,18797,1680,4352,579,117,11495,123,31,13,122,12,3,178,28,55,9,640,176,16,0,64,59,15,223,19,41,0,0,3,10,6,0,3,2,0,2,1,32,7,1,12,4,0,0,0,4,0,1,2,0,0,1,0,3,1,2,0,0,0,0,1,1,196284,33228,163056,154742,139560,11702,1248,1528,185,519,8314,8001,1548,4067,532,105,1487,121,23,10,40,5,3,7,28,22,3,303,162,13,0,7,42,12,18,19,9,0,0,3,9,2,0,2,2,0,2,1,7,1,1,1,1,0,0,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,1,1,149984,137338,116600,9194,1572,1261,138,8573,12646,12264,589,3371,313,67,7513,105,27,11,63,7,3,130,26,33,6,363,107,7,0,29,25,10,135,12,15,0,0,3,9,3,0,3,2,0,2,1,18,5,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,149984,20937,129047,123444,111627,9082,1016,1233,133,353,5603,5416,563,3197,298,61,1105,104,19,10,17,2,3,4,26,7,0,185,99,7,0,4,24,10,10,12,0,0,0,3,9,0,0,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81778,72838,8940,4025,1552,474,25,1053,0,2473,2269,0,204
PLST,TX,620,L6,00,000,0050240,620L600US48003,48003,3,7,48,01779801,003,2221120530,17544507,3,State House District 3,N,226855,81644,+30.0966182,-095.8264133,LL,48003,226855,196062,141524,18259,2675,4154,219,29231,30793,29744,1279,3668,951,106,22595,107,61,16,305,16,8,512,55,57,8,963,131,55,2,175,45,3,388,42,83,5,1,0,14,4,7,0,4,0,0,4,82,7,0,45,2,8,0,3,13,0,2,1,1,0,0,0,4,1,3,0,0,0,0,0,0,226855,68480,158375,150744,127000,17853,794,4035,175,887,7631,7303,1132,3236,858,93,1637,95,57,14,81,9,2,19,51,16,3,290,102,46,1,38,29,0,20,42,2,1,1,0,1,2,1,0,4,0,0,0,36,7,0,16,2,1,0,2,5,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,167866,147728,108098,14945,1865,3191,175,19454,20138,19527,538,2742,419,64,15037,85,34,9,167,13,4,346,34,29,6,552,82,24,1,73,19,3,272,23,32,4,1,0,10,1,4,0,3,0,0,0,55,3,0,30,0,6,0,2,13,0,0,1,0,0,0,0,4,1,3,0,0,0,0,0,0,167866,43977,123889,118839,99546,14767,609,3118,145,654,5050,4844,502,2472,396,60,1177,77,33,9,55,6,1,14,30,9,3,181,73,20,0,28,15,0,16,23,1,0,1,0,0,1,0,0,3,0,0,0,23,3,0,11,0,1,0,2,5,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,81644,74896,6748,6728,602,53,0,549,0,6126,5814,0,312
PLST,TX,620,L6,00,000,0050241,620L600US48004,48004,3,7,48,01779801,004,3888759768,221202868,4,State House District 4,N,213992,84391,+32.6290282,-096.2599887,LL,48004,213992,189487,141235,26041,1986,2631,105,17489,24505,23545,2030,3985,682,99,15738,193,72,16,388,13,5,230,30,61,3,862,238,39,12,160,53,9,267,30,28,2,6,0,5,6,1,0,1,2,0,3,90,11,7,52,3,1,2,9,1,4,0,0,0,0,0,0,7,4,3,0,0,0,0,1,1,213992,45626,168366,160018,130225,25565,959,2551,93,625,8348,7943,1895,3678,613,93,1249,167,70,16,113,8,0,7,30,4,0,373,204,33,10,25,41,5,23,21,0,1,3,0,0,6,0,0,1,0,0,0,32,8,7,10,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157762,142414,109615,17922,1445,1985,91,11356,15348,14846,743,3008,369,52,10110,121,35,11,170,9,4,163,22,28,1,444,152,11,8,51,29,2,155,13,7,2,5,0,3,5,1,0,0,0,0,0,54,1,5,35,1,0,0,7,1,4,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,157762,28239,129523,124097,103180,17723,770,1942,80,402,5426,5184,714,2859,346,48,970,108,33,11,63,5,0,3,22,2,0,225,133,10,8,11,27,2,16,9,0,1,3,0,0,5,0,0,0,0,0,0,17,1,5,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84391,74919,9472,2606,1843,753,0,854,236,763,487,0,276
PLST,TX,620,L6,00,000,0050242,620L600US48005,48005,3,7,48,01779801,005,6093356986,323089739,5,State House District 5,N,169073,74465,+32.8033178,-095.2154521,LL,48005,169073,152160,118595,15633,1410,1100,59,15363,16913,16446,1456,3259,389,32,10796,114,19,13,133,14,0,174,18,17,12,415,95,23,7,51,14,3,153,23,12,4,0,4,7,2,6,4,2,2,1,2,38,6,0,14,6,3,0,1,1,0,4,1,1,0,1,0,12,2,4,0,1,5,0,2,2,169073,34170,134903,128804,111125,15362,758,1060,45,454,6099,5898,1366,3065,373,28,899,97,14,13,13,7,0,2,15,4,2,175,80,23,5,19,5,3,4,22,2,0,0,1,2,2,6,0,0,0,0,1,20,5,0,5,5,0,0,1,1,0,2,1,0,0,0,0,6,2,3,0,1,0,0,0,0,129813,119078,94861,12132,1032,845,46,10162,10735,10431,411,2579,203,13,6907,67,11,9,58,3,0,137,14,10,9,263,60,14,5,32,5,0,95,22,7,1,0,3,3,2,3,4,2,2,1,2,28,5,0,11,4,0,0,1,0,0,4,1,1,0,1,0,11,2,3,0,1,5,0,2,2,129813,21483,108330,104291,90477,12038,602,825,39,310,4039,3901,400,2458,192,12,729,65,8,9,10,1,0,2,11,2,2,115,53,14,4,10,3,0,2,21,1,0,0,0,1,2,3,0,0,0,0,1,17,5,0,4,4,0,0,1,0,0,2,1,0,0,0,0,6,2,3,0,1,0,0,0,0,74465,64600,9865,2324,1571,737,2,832,0,753,454,0,299
PLST,TX,620,L6,00,000,0050243,620L600US48006,48006,3,7,48,01779801,006,770292726,44107059,6,State House District 6,N,177097,74595,+32.2627632,-095.3144019,LL,48006,177097,160107,104888,32280,1223,3806,80,17830,16990,16367,1662,2556,688,42,10615,214,69,14,247,15,3,192,22,28,0,564,160,15,0,109,34,9,158,21,29,5,0,0,14,0,0,0,0,5,0,5,55,4,2,20,6,2,0,0,1,2,4,6,0,0,8,0,4,3,0,0,1,0,0,0,0,177097,37198,139899,133853,97223,31772,499,3756,54,549,6046,5774,1517,2326,640,42,842,204,58,14,87,12,3,7,13,9,0,245,123,11,0,26,29,8,17,21,3,1,0,0,0,0,0,0,0,1,0,5,24,3,2,4,4,2,0,0,1,0,0,6,0,0,2,0,3,3,0,0,0,0,0,0,0,135142,124063,84303,24102,895,2913,55,11795,11079,10728,682,1996,332,37,7146,166,34,14,130,15,0,134,21,21,0,316,100,5,0,39,24,3,102,15,11,2,0,0,5,0,0,0,0,5,0,5,31,0,2,5,4,2,0,0,0,0,4,6,0,0,8,0,4,3,0,0,1,0,0,0,0,135142,24005,111137,107148,79640,23836,385,2871,38,378,3989,3826,648,1869,310,37,664,159,34,14,57,12,0,1,12,9,0,144,79,1,0,9,19,3,12,15,0,0,0,0,0,0,0,0,0,1,0,5,16,0,2,0,4,2,0,0,0,0,0,6,0,0,2,0,3,3,0,0,0,0,0,0,0,74595,67908,6687,5010,2378,962,58,1343,15,2632,2232,0,400
PLST,TX,620,L6,00,000,0050244,620L600US48007,48007,3,7,48,01779801,007,2217962984,31084572,7,State House District 7,N,165131,70559,+32.6593225,-094.8984047,LL,48007,165131,150056,105281,28220,1158,1816,68,13513,15075,14381,1970,2966,449,54,8295,188,26,16,256,5,9,122,7,17,1,623,221,24,2,105,21,10,179,17,22,5,1,0,7,2,1,0,0,6,0,0,62,5,1,27,3,7,0,11,6,0,2,0,0,0,0,0,5,3,0,1,0,1,0,4,4,165131,28026,137105,130199,99337,27882,685,1791,56,448,6906,6567,1847,2785,433,45,1120,186,26,16,89,4,6,2,7,1,0,306,196,24,2,27,16,10,9,16,1,0,1,0,1,2,1,0,0,0,0,0,29,5,1,2,3,0,0,11,6,0,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,124857,115571,83315,21105,879,1436,49,8787,9286,8947,707,2255,242,30,5280,147,18,12,134,5,3,94,7,12,1,303,117,5,0,34,7,0,111,10,16,0,1,0,1,0,1,0,0,0,0,0,28,1,0,15,0,7,0,4,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,4,4,124857,17394,107463,103106,79867,20962,548,1411,45,273,4357,4192,681,2158,242,23,841,145,18,12,59,4,0,2,7,0,0,154,109,5,0,12,7,0,9,9,0,0,1,0,1,0,1,0,0,0,0,0,8,1,0,2,0,0,0,4,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,70559,63504,7055,3847,2016,662,27,1327,0,1831,1317,0,514
PLST,TX,620,L6,00,000,0050245,620L600US48008,48008,3,7,48,01779801,008,10124015645,343942141,8,State House District 8,N,165855,66724,+31.8928073,-096.3372470,LL,48008,165855,150295,104348,22878,1344,1055,781,19889,15560,14965,1536,2554,273,80,9883,103,33,2,200,7,0,206,36,24,28,513,128,21,3,86,15,9,206,6,18,5,5,1,0,0,3,1,1,5,0,0,68,8,0,31,5,4,2,3,10,1,2,2,0,0,0,0,8,0,2,0,0,0,6,6,6,165855,38199,127656,122286,97034,22511,557,1028,773,383,5370,5140,1416,2348,244,61,846,101,27,2,52,7,0,0,34,1,1,200,115,19,3,26,11,6,9,5,1,2,0,1,0,0,0,1,1,0,0,0,25,5,0,10,5,4,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3,129407,119469,84226,18549,1006,827,516,14345,9938,9622,526,2021,148,31,6506,79,20,2,88,6,0,150,21,16,8,267,66,7,1,33,8,6,134,0,6,1,0,1,0,0,0,1,0,3,0,0,40,3,0,19,5,4,0,0,6,1,0,2,0,0,0,0,6,0,0,0,0,0,6,3,3,129407,25606,103801,100317,79854,18385,482,810,513,273,3484,3353,488,1889,132,29,658,78,14,2,37,6,0,0,20,0,0,110,63,7,1,17,4,6,8,0,1,1,0,1,0,0,0,1,0,0,0,0,21,2,0,9,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66724,57016,9708,17205,16322,14981,68,1273,0,883,658,0,225
PLST,TX,620,L6,00,000,0050246,620L600US48009,48009,3,7,48,01779801,009,11179845614,550071338,9,State House District 9,N,163425,78349,+32.3162023,-094.2436088,LL,48009,163425,152334,112544,27824,1357,1187,76,9346,11091,10520,1460,2798,286,62,5347,134,47,2,184,17,6,135,16,14,12,493,143,15,4,64,25,15,139,29,24,0,4,6,12,7,3,0,0,1,0,2,63,12,2,11,6,9,8,3,5,0,0,3,2,0,0,2,15,10,0,3,0,1,1,0,0,163425,18832,144593,138799,108757,27595,715,1165,59,508,5794,5494,1391,2657,261,52,877,126,41,2,47,13,1,5,14,2,5,258,108,11,3,24,21,11,19,26,7,0,4,6,8,6,3,0,0,0,0,1,34,12,1,5,0,2,8,3,0,0,0,3,0,0,0,0,8,5,0,3,0,0,0,0,0,125418,118449,89215,21266,987,880,67,6034,6969,6648,472,2175,153,31,3477,107,28,1,70,7,2,88,16,9,12,274,93,11,4,20,11,12,88,10,7,0,0,6,5,4,1,0,0,0,0,2,37,7,1,6,6,2,8,2,0,0,0,3,2,0,0,0,10,8,0,1,0,1,0,0,0,125418,11663,113755,110004,86999,21168,585,865,54,333,3751,3571,457,2096,138,26,678,100,24,1,25,3,0,4,14,0,5,153,73,11,3,9,10,8,11,10,3,0,0,6,4,3,1,0,0,0,0,1,23,7,1,0,0,2,8,2,0,0,0,3,0,0,0,0,4,3,0,1,0,0,0,0,0,78349,64339,14010,3067,1404,318,77,1009,0,1663,1483,0,180
PLST,TX,620,L6,00,000,0050247,620L600US48010,48010,3,7,48,01779801,010,2820120947,83629455,10,State House District 10,N,205923,76011,+32.3378752,-096.7003269,LL,48010,205923,179030,129694,25002,1790,1651,226,20667,26893,25989,1824,3525,772,99,18790,186,79,19,303,9,4,290,30,44,15,836,191,30,0,137,26,9,334,33,50,0,5,0,10,3,3,0,0,0,4,1,61,5,0,35,8,4,1,6,0,0,0,0,0,0,0,2,7,0,6,0,0,1,0,0,0,205923,53813,152110,144569,116750,24419,788,1591,210,811,7541,7230,1640,3160,698,93,1255,163,75,14,72,7,4,8,30,11,0,275,159,24,0,30,22,6,3,24,0,0,4,0,0,3,0,0,0,0,0,0,31,5,0,11,8,0,1,6,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,151798,134556,99864,17774,1319,1255,151,14193,17242,16756,686,2595,370,58,12452,132,35,7,150,0,4,207,23,22,15,440,108,9,0,42,16,4,201,23,18,0,4,0,8,3,0,0,0,0,4,0,43,1,0,25,4,4,1,6,0,0,0,0,0,0,0,2,3,0,2,0,0,1,0,0,0,151798,34728,117070,112246,92099,17586,623,1229,150,559,4824,4641,644,2386,346,54,954,132,35,7,53,0,4,1,23,2,0,159,90,9,0,15,13,4,1,20,0,0,4,0,0,3,0,0,0,0,0,0,23,1,0,11,4,0,1,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,76011,70498,5513,1873,1205,275,110,820,0,668,600,0,68
