FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,TX,610,U6,00,000,0045531,610U600US48001,48001,3,7,48,01779801,001,26808942961,813750639,1,State Senate District 1,N,845787,367679,+32.8900157,-094.8269285,LU,48001,845787,773405,552041,139290,7059,9356,416,65243,72382,69441,8900,15490,2216,245,39403,952,211,60,1012,55,19,691,76,88,23,2629,830,110,22,436,111,44,736,86,99,22,20,16,42,12,14,0,2,14,4,9,254,32,9,74,25,14,5,15,25,2,27,12,4,0,10,0,52,28,10,3,2,8,1,6,6,845787,135853,709934,677002,523195,137642,4112,9207,317,2529,32932,31484,8378,14533,2096,222,4620,892,189,58,346,33,12,18,61,18,8,1299,700,85,18,135,88,34,59,81,14,7,20,12,12,12,14,0,0,1,0,7,123,30,9,19,16,3,5,14,11,0,3,11,0,0,2,0,26,16,6,3,1,0,0,0,0,647407,601962,440256,105370,5227,7241,310,43558,45445,43845,2979,11894,1143,152,25639,691,112,46,522,32,6,488,65,56,20,1404,489,45,8,172,55,17,435,49,48,7,20,10,18,3,9,0,2,7,1,9,154,15,8,39,16,10,5,6,5,0,26,12,3,0,9,0,36,20,8,0,2,6,0,6,6,647407,86370,561037,539966,423117,104623,3214,7124,246,1642,21071,20247,2870,11367,1097,140,3631,667,105,44,225,17,2,10,51,13,8,732,430,32,6,59,47,13,35,47,5,3,20,6,9,3,9,0,0,1,0,7,74,15,8,10,10,3,5,5,2,0,3,11,0,0,2,0,18,11,6,0,1,0,0,0,0,367679,324752,42927,25529,18091,12213,164,5699,15,7438,5747,0,1691
PLST,TX,610,U6,00,000,0045532,610U600US48002,48002,3,7,48,01779801,002,12712693069,528819603,2,State Senate District 2,N,944576,351028,+33.0029033,-095.9881763,LU,48002,944576,807539,512764,127259,11679,23421,756,131660,137037,132489,7836,14511,3501,361,99503,1002,376,77,1782,99,26,2864,130,358,63,4120,788,165,43,632,200,30,1662,169,262,11,17,9,62,26,13,7,7,5,6,6,392,69,2,229,18,21,2,15,16,4,12,3,0,0,1,0,35,10,18,3,2,1,1,1,1,944576,309693,634883,602941,447698,124690,4131,22951,557,2914,31942,30415,7116,12878,3164,313,4807,909,349,74,463,75,8,34,127,94,4,1394,654,142,34,96,149,20,68,120,23,2,9,9,31,21,7,2,4,0,2,1,123,45,2,39,4,14,0,11,1,0,3,3,0,0,1,0,9,3,4,2,0,0,0,1,1,695983,606150,400326,90676,8381,18414,554,87799,89833,87191,2986,11103,1811,206,66738,727,212,55,940,70,18,1991,98,184,52,2376,480,73,17,247,96,17,1143,97,95,5,14,9,37,16,6,7,6,2,5,4,245,36,0,160,8,8,0,7,12,4,9,1,0,0,0,0,20,3,11,3,2,0,1,1,1,695983,200985,494998,474132,360724,89609,3296,18162,425,1916,20866,19954,2811,10124,1707,176,3647,677,193,54,330,53,8,22,95,56,1,842,399,69,16,54,86,15,52,78,12,2,6,9,23,12,1,2,3,0,2,1,63,21,0,23,3,5,0,7,1,0,2,1,0,0,0,0,6,2,2,2,0,0,0,1,1,351028,325055,25973,12850,9422,5614,25,3547,236,3428,2425,0,1003
PLST,TX,610,U6,00,000,0045533,610U600US48003,48003,3,7,48,01779801,003,40389916437,1736872249,3,State Senate District 3,N,877170,389723,+31.1284582,-094.7345954,LU,48003,877170,805066,618826,97570,6970,6932,338,74430,72104,69503,6881,14258,1960,260,43596,400,118,39,868,38,26,791,62,150,56,2303,514,123,27,343,110,46,822,74,82,28,31,8,22,18,13,14,2,7,8,11,239,25,11,89,17,30,11,23,18,5,3,1,2,1,1,2,46,13,24,3,2,4,0,13,13,877170,151955,725215,696036,586514,96292,3851,6748,289,2342,29179,28054,6584,13187,1796,244,5319,368,97,26,265,23,15,12,59,53,6,996,424,100,14,117,90,33,62,71,14,7,11,5,12,16,10,5,1,0,0,4,97,22,10,17,15,9,4,16,0,1,0,1,0,1,1,0,25,9,8,3,2,3,0,7,7,678053,631044,493849,75087,5178,5417,262,51251,47009,45557,2434,11215,1062,174,29001,315,76,22,436,24,20,589,53,102,34,1271,337,48,10,135,38,19,498,44,45,16,21,7,11,15,5,3,1,7,5,6,140,10,5,70,8,11,5,16,6,4,3,0,2,0,0,0,34,10,15,3,2,4,0,7,7,678053,99745,578308,558667,474050,74453,3056,5322,231,1555,19641,18973,2384,10609,1003,166,4150,300,58,16,177,20,14,1,50,24,1,590,279,45,3,70,36,16,47,44,9,5,6,4,4,13,5,3,0,0,0,1,52,9,5,14,7,1,4,11,0,1,0,0,0,0,0,0,22,9,5,3,2,3,0,4,4,389723,325814,63909,40158,34780,29887,29,4602,262,5378,4051,0,1327
PLST,TX,610,U6,00,000,0045534,610U600US48004,48004,3,7,48,01779801,004,6313893057,1972792427,4,State Senate District 4,N,1019150,396829,+29.8749870,-094.7127170,LU,48004,1019150,890151,604912,133586,8801,38517,945,103390,128999,123982,7332,13544,6129,464,90657,745,521,148,2054,83,13,1585,224,430,53,4618,728,242,17,811,214,29,1790,208,427,31,7,0,46,15,25,4,7,5,1,11,352,56,2,195,9,24,0,18,32,5,8,1,1,0,1,0,47,11,31,1,0,3,1,0,0,1019150,260391,758759,722642,546031,130980,2872,37840,789,4130,36117,34486,6607,11968,5695,390,7312,674,495,138,749,52,6,41,204,154,1,1484,581,190,11,214,156,14,52,191,31,0,7,0,10,15,3,0,7,2,0,0,123,43,2,44,9,7,0,13,0,0,3,1,0,0,1,0,24,6,18,0,0,0,0,0,0,754208,670750,467363,97772,6279,29106,687,69543,83458,80566,3172,10039,2692,260,60671,549,276,86,1219,62,8,1093,183,224,32,2635,488,107,9,371,90,26,1169,130,157,14,7,0,27,15,12,4,5,0,0,4,217,26,2,134,7,11,0,10,24,0,1,1,0,0,1,0,40,11,27,1,0,0,1,0,0,754208,170158,584050,561253,430392,96556,2249,28716,574,2766,22797,21787,2926,9154,2549,233,5220,514,265,83,528,36,1,28,164,86,0,904,402,78,4,115,67,12,46,126,17,0,7,0,9,15,1,0,5,0,0,0,83,23,2,36,7,3,0,10,0,0,0,1,0,0,1,0,23,6,17,0,0,0,0,0,0,396829,361820,35009,18204,16671,13946,75,2632,18,1533,246,26,1261
PLST,TX,610,U6,00,000,0045535,610U600US48005,48005,3,7,48,01779801,005,21930859345,319890242,5,State Senate District 5,N,1060800,428361,+31.0110597,-096.4203400,LU,48005,1060800,923261,650065,101031,7672,71321,1103,92069,137539,130999,9645,14392,9240,599,90815,728,561,106,2601,119,8,1282,339,489,75,5857,972,335,26,851,347,32,2095,382,622,31,17,4,66,20,27,7,1,6,6,10,640,78,21,293,26,61,6,20,86,7,25,8,6,0,3,0,40,14,22,0,0,2,2,3,3,1060800,257915,802885,761499,585040,97408,2831,70484,916,4820,41386,39247,8384,12266,8479,497,7226,620,520,94,549,84,8,26,316,169,9,1968,698,301,23,172,238,27,64,332,63,1,10,4,12,13,5,2,0,0,0,3,159,47,20,19,15,20,2,14,12,0,2,4,1,0,3,0,12,11,1,0,0,0,0,0,0,814153,723817,519558,76664,5724,53081,826,67964,90336,86730,4046,10836,4756,333,62551,517,313,60,1750,56,6,930,277,244,55,3227,570,100,20,356,162,11,1452,221,230,11,11,4,46,4,16,7,1,2,0,3,361,39,21,199,3,28,2,11,38,0,9,4,4,0,3,0,17,9,6,0,0,0,2,1,1,814153,177706,636447,610264,476525,74910,2217,52597,703,3312,26183,24995,3689,9625,4465,306,5269,471,305,55,393,41,6,18,261,83,8,1094,427,97,18,104,122,8,55,201,34,1,6,4,8,1,3,2,0,0,0,3,87,23,20,11,3,6,0,8,12,0,0,0,1,0,3,0,7,6,1,0,0,0,0,0,0,428361,386907,41454,52478,28889,24873,396,3567,53,23589,22234,0,1355
PLST,TX,610,U6,00,000,0045536,610U600US48006,48006,3,7,48,01779801,006,682364150,58190489,6,State Senate District 6,N,833989,293464,+29.7736706,-095.2274752,LU,48006,833989,631684,219891,103020,13496,18953,529,275795,202305,197788,3018,3581,1346,109,180686,627,335,108,3491,95,10,3663,122,440,157,4176,422,120,22,731,92,11,2225,79,255,25,26,2,81,15,28,7,7,6,6,16,299,64,3,151,11,23,0,8,24,2,10,0,2,0,1,0,37,10,22,4,1,0,0,5,5,833989,620231,213758,204202,82009,99535,1231,18319,365,2743,9556,8656,2436,1982,1112,91,1188,531,292,97,573,58,2,49,115,112,18,788,278,93,13,133,59,6,28,64,38,2,19,1,16,13,14,4,2,0,0,5,103,47,3,23,10,9,0,6,0,0,4,0,0,0,1,0,9,8,1,0,0,0,0,0,0,597899,453943,161637,74662,9801,15359,370,192114,143956,140976,1598,2744,757,71,129773,434,193,59,2097,60,6,2686,98,268,132,2778,274,50,8,366,54,7,1714,44,117,18,21,2,48,12,15,3,2,5,6,12,174,39,3,98,7,7,0,4,12,0,2,0,1,0,1,0,23,8,13,2,0,0,0,5,5,597899,430464,167435,160951,70005,72936,909,15000,268,1833,6484,5910,1380,1648,635,62,887,381,162,54,441,40,1,34,95,76,14,504,199,46,4,79,31,4,22,36,25,1,16,1,12,12,7,2,2,0,0,5,64,30,3,18,7,1,0,4,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,293464,267665,25799,3272,1514,2,173,1339,0,1758,21,0,1737
PLST,TX,610,U6,00,000,0045537,610U600US48007,48007,3,7,48,01779801,007,924461058,7441750,7,State Senate District 7,N,1009368,366658,+29.9772115,-095.6005756,LU,48007,1009368,850435,463758,159928,9702,96610,1014,119423,158933,152288,8602,9731,7980,386,115035,1169,998,160,4049,132,22,2771,304,800,149,6011,925,386,21,1144,172,23,2285,187,632,29,25,2,91,16,40,9,3,12,1,8,576,101,7,319,14,38,1,10,63,1,17,2,2,0,1,0,58,10,39,5,1,3,0,0,0,1009368,314396,694972,660045,400979,155492,2092,95402,811,5269,34927,32995,7571,8084,7337,343,5664,1025,924,145,1196,94,13,41,295,246,17,1754,680,338,19,229,115,21,50,165,46,2,18,1,31,16,13,4,0,0,0,6,165,77,4,51,11,12,0,8,0,0,2,0,0,0,0,0,13,6,7,0,0,0,0,0,0,741905,635165,358119,111943,6944,73949,713,83497,106740,103015,3804,7247,3755,254,81060,827,533,117,2600,93,20,1926,246,420,113,3345,567,167,7,520,74,14,1538,101,222,13,18,2,56,11,19,3,1,5,1,6,339,58,5,200,8,21,0,7,30,0,8,1,0,0,1,0,41,10,29,0,0,2,0,0,0,741905,213508,528397,506934,318117,109854,1590,73374,578,3421,21463,20315,3459,6238,3533,228,4087,761,501,108,891,68,13,24,242,149,13,1023,420,162,7,160,51,12,30,95,27,2,14,1,19,11,6,1,0,0,0,5,114,49,3,39,5,10,0,7,0,0,1,0,0,0,0,0,11,6,5,0,0,0,0,0,0,366658,346379,20279,2852,2281,0,137,2132,12,571,0,0,571
PLST,TX,610,U6,00,000,0045538,610U600US48008,48008,3,7,48,01779801,008,797609506,14857044,8,State Senate District 8,N,998133,390845,+33.0946954,-096.6917993,LU,48008,998133,887919,504882,117974,6493,196204,664,61702,110214,104527,8305,11277,12574,442,65892,1005,940,73,1816,187,26,778,394,740,78,5166,953,426,29,752,353,20,1583,314,593,37,10,1,25,28,25,14,0,2,1,0,486,82,4,242,17,37,3,30,45,10,14,2,0,0,0,0,29,10,17,0,0,2,0,6,6,998133,164666,833467,791354,471726,115829,3101,195423,565,4710,42113,39797,7575,10017,12010,400,6228,907,911,68,705,167,23,20,357,394,15,2152,761,383,24,196,284,18,45,288,92,2,10,1,3,22,16,7,0,0,0,0,151,63,4,31,16,6,0,24,0,0,5,2,0,0,0,0,11,9,2,0,0,0,0,2,2,750559,679105,401564,85879,4753,142755,524,43630,71454,68331,3969,8362,6201,287,45709,708,478,45,1121,97,20,585,297,400,52,2817,567,172,14,342,175,15,1065,166,220,16,7,1,18,13,14,9,0,2,1,0,282,61,0,148,2,19,0,15,25,5,5,2,0,0,0,0,18,9,7,0,0,2,0,6,6,750559,112209,638350,612552,379606,84742,2275,142356,464,3109,25798,24497,3757,7620,6001,260,4538,660,464,40,512,81,20,9,274,246,15,1199,469,160,14,116,143,14,33,160,50,2,7,1,3,7,13,7,0,0,0,0,91,49,0,21,2,6,0,11,0,0,0,2,0,0,0,0,9,8,1,0,0,0,0,2,2,390845,368139,22706,10430,3694,907,94,2693,0,6736,6381,0,355
PLST,TX,610,U6,00,000,0045539,610U600US48009,48009,3,7,48,01779801,009,697585191,5551120,9,State Senate District 9,N,924657,350468,+32.8289039,-097.1459516,LU,48009,924657,779848,424473,133325,10489,68096,2964,140501,144809,138671,8239,11298,6408,518,104582,1197,768,152,2261,106,24,2153,297,514,154,5511,978,331,57,863,235,41,2045,248,446,34,31,4,104,28,34,6,4,12,6,4,564,80,12,319,15,49,2,28,40,3,13,1,2,0,0,0,55,21,29,3,1,1,0,8,8,924657,324820,599837,566881,359833,129880,3194,67281,2748,3945,32956,30928,7247,9730,5917,460,4530,1052,709,147,562,73,16,18,261,185,21,1848,759,272,55,142,181,26,56,198,50,3,29,4,31,27,11,3,0,0,0,1,154,60,8,41,13,12,2,15,1,0,0,1,1,0,0,0,25,16,8,0,0,1,0,1,1,684713,588048,333528,95643,7723,52594,1983,96577,96665,93091,3675,8528,3248,329,72419,851,404,60,1323,65,15,1572,222,266,114,3163,606,101,21,397,118,19,1396,153,191,17,18,4,72,12,13,5,4,8,6,2,360,50,6,231,10,20,2,12,17,2,7,1,2,0,0,0,45,20,21,3,1,0,0,6,6,684713,218171,466542,445661,292419,93954,2567,52167,1856,2698,20881,19695,3358,7585,3096,292,3378,778,384,60,373,50,11,15,200,97,18,1067,485,77,20,100,102,18,41,124,36,0,18,4,23,12,3,3,0,0,0,1,96,38,6,25,9,6,2,8,0,0,0,1,1,0,0,0,22,15,7,0,0,0,0,1,1,350468,331474,18994,4731,2747,373,83,2291,0,1984,1442,0,542
PLST,TX,610,U6,00,000,0045540,610U600US48010,48010,3,7,48,01779801,010,1037637164,28052332,10,State Senate District 10,N,945496,357172,+32.6748154,-097.3032167,LU,48010,945496,810550,443590,187270,7978,44515,1187,126010,134946,129597,8603,10338,6068,356,97027,1587,736,108,2389,96,14,1457,266,485,67,4859,1052,342,51,915,227,44,1496,179,349,44,31,1,84,21,11,1,2,1,5,3,453,68,11,267,12,22,1,15,39,0,6,7,5,0,0,0,32,15,15,2,0,0,0,5,5,945496,304689,640807,608594,373902,183564,2867,43894,1011,3356,32213,30137,7661,8981,5658,321,4067,1429,684,101,712,61,12,23,249,172,6,1924,876,287,45,188,162,36,41,156,36,6,28,1,33,18,7,1,0,0,0,3,136,49,9,46,7,4,1,12,0,0,0,5,3,0,0,0,14,10,4,0,0,0,0,2,2,708665,618787,356231,135641,5904,34379,844,85788,89878,86915,3796,8037,3257,204,67045,1137,375,49,1387,73,11,1054,195,247,48,2668,647,111,23,363,109,34,1027,102,129,13,21,1,60,12,4,1,2,1,5,3,265,41,6,158,6,10,1,7,23,0,3,5,5,0,0,0,25,12,11,2,0,0,0,5,5,708665,203819,504846,484238,311021,133883,2256,34042,724,2312,20608,19398,3500,7190,3133,186,3009,1067,354,48,534,49,9,22,186,106,5,1113,561,97,23,106,82,31,36,97,19,1,21,1,22,10,2,1,0,0,0,3,84,29,6,27,5,1,1,7,0,0,0,5,3,0,0,0,11,7,4,0,0,0,0,2,2,357172,335077,22095,19511,9639,6046,83,3510,0,9872,6919,0,2953
