FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,WI,620,L6,00,000,0020010,620L600US55001,55001,2,3,55,01779806,001,2407171265,6924563375,1,Assembly District 1,N,59834,36845,+44.8748355,-087.2064512,L3,55001,59834,57461,55617,242,280,290,15,1017,2373,2280,253,702,135,12,1121,12,0,4,7,12,0,3,9,7,3,83,18,6,3,17,6,2,20,4,0,2,0,0,4,0,0,0,0,0,1,0,8,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,59834,2148,57686,56045,55183,232,215,278,11,126,1641,1591,242,684,134,12,473,10,0,4,3,12,0,0,9,6,2,48,17,5,3,10,6,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,48743,47333,46024,167,213,214,6,709,1410,1362,103,447,70,12,706,3,0,4,2,0,0,3,8,2,2,43,17,4,1,4,2,0,10,4,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48743,1310,47433,46429,45782,161,171,209,6,100,1004,975,101,437,69,12,338,2,0,4,0,0,0,0,8,2,2,29,17,3,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36845,25948,10897,646,372,54,0,318,0,274,76,0,198
PLST,WI,620,L6,00,000,0020011,620L600US55002,55002,2,3,55,01779806,002,1064317436,28319623,2,Assembly District 2,N,62564,26461,+44.2839732,-087.8631572,L3,55002,62564,59990,56727,641,489,1230,37,866,2574,2466,364,721,191,11,1114,19,7,0,5,7,3,12,3,5,4,97,32,6,1,8,5,1,26,10,6,0,0,1,0,0,0,0,0,0,0,1,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,62564,2104,60460,58606,56173,609,423,1225,37,139,1854,1784,346,695,183,9,516,14,7,0,2,7,3,0,2,0,0,66,32,6,0,4,5,1,1,10,6,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,48612,47130,44834,462,369,844,29,592,1482,1423,142,445,85,7,698,17,4,0,2,3,3,8,1,5,3,54,22,5,0,1,2,1,15,1,5,0,0,1,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,48612,1299,47313,46246,44503,442,333,840,29,99,1067,1028,135,433,84,7,347,12,4,0,0,3,3,0,0,0,0,39,22,5,0,1,2,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26461,25053,1408,2022,239,0,0,226,13,1783,1650,0,133
PLST,WI,620,L6,00,000,0020012,620L600US55003,55003,2,3,55,01779806,003,431712581,157422994,3,Assembly District 3,N,61906,24777,+44.1569583,-088.2661858,L3,55003,61906,59056,55160,613,314,1659,23,1287,2850,2723,373,709,343,16,1203,18,6,0,29,3,0,7,10,6,0,110,36,6,0,11,9,0,33,8,1,2,0,0,3,0,1,0,0,0,0,0,16,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61906,2802,59104,57221,54603,580,224,1651,23,140,1883,1816,353,666,334,16,394,12,6,0,18,3,0,0,10,4,0,62,34,6,0,2,8,0,0,8,1,0,0,0,3,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,46605,45103,42523,404,223,1107,16,830,1502,1435,94,460,126,4,710,8,3,0,17,0,0,3,8,2,0,56,24,0,0,0,3,0,21,3,1,1,0,0,3,0,0,0,0,0,0,0,10,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,46605,1671,44934,43960,42197,379,181,1100,16,87,974,937,87,445,123,4,251,7,3,0,9,0,0,0,8,0,0,33,23,0,0,0,3,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24777,23987,790,187,111,0,0,111,0,76,0,0,76
PLST,WI,620,L6,00,000,0020013,620L600US55004,55004,2,3,55,01779806,004,77961716,2821457,4,Assembly District 4,N,58716,25075,+44.4991865,-088.0817716,L3,55004,58716,55080,48181,1738,2351,1721,12,1077,3636,3453,569,1057,298,19,1298,105,10,5,31,15,9,28,3,5,1,161,74,8,0,14,14,2,30,6,0,0,2,0,6,0,1,3,0,0,1,0,22,6,2,6,2,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58716,3101,55615,53139,47517,1691,2078,1698,12,143,2476,2362,551,956,278,19,414,94,8,5,6,15,6,3,3,4,0,104,71,7,0,4,14,0,0,3,0,0,0,0,0,0,1,3,0,0,1,0,10,0,2,1,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46270,44309,39384,1346,1600,1213,11,755,1961,1858,167,631,130,10,838,29,2,2,26,3,3,13,3,1,0,88,39,7,0,4,5,2,18,6,0,0,0,0,4,0,0,3,0,0,0,0,15,6,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46270,1873,44397,43092,39005,1318,1457,1198,11,103,1305,1242,163,590,124,10,311,29,1,2,3,3,0,3,3,0,0,56,38,7,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,7,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25075,24129,946,1639,1384,1062,11,311,0,255,0,0,255
PLST,WI,620,L6,00,000,0020014,620L600US55005,55005,2,3,55,01779806,005,937362872,3885943,5,Assembly District 5,N,67428,27201,+44.4476732,-088.3340402,L3,55005,67428,64299,58772,489,3496,924,14,604,3129,3009,332,1237,248,9,1070,59,11,2,11,4,0,12,5,6,3,103,53,3,1,3,8,3,19,2,3,1,0,0,3,2,0,1,1,0,0,0,16,3,0,4,5,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,67428,2065,65363,62989,58250,468,3202,921,13,135,2374,2297,310,1185,246,9,472,50,9,2,3,4,0,0,5,2,0,67,47,3,1,1,7,1,0,2,0,0,0,0,2,2,0,0,1,0,0,0,10,0,0,2,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51279,49562,45692,319,2504,602,11,434,1717,1665,92,767,105,4,645,27,1,1,5,4,0,3,4,4,3,44,21,0,1,0,2,3,10,2,1,0,0,0,2,0,0,1,1,0,0,0,8,3,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51279,1175,50104,48769,45409,306,2349,600,10,95,1335,1303,87,749,105,4,324,23,1,1,1,4,0,0,4,0,0,27,18,0,1,0,2,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27201,26290,911,731,504,116,0,388,0,227,0,0,227
PLST,WI,620,L6,00,000,0020015,620L600US55006,55006,2,3,55,01779806,006,2608829732,44284303,6,Assembly District 6,N,57409,26703,+44.6769525,-088.6997131,L3,55006,57409,54719,50093,215,3358,287,8,758,2690,2578,223,1331,105,12,833,33,10,2,3,5,0,11,4,0,6,102,57,2,2,6,9,0,11,4,5,0,2,0,0,0,3,0,0,0,0,1,7,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,57409,1783,55626,53478,49666,203,3214,284,8,103,2148,2066,213,1275,105,12,409,29,10,2,2,5,0,1,3,0,0,77,53,2,0,5,8,0,2,4,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,44662,43131,39933,140,2336,203,8,511,1531,1479,84,777,38,9,532,12,7,2,1,2,0,10,2,0,3,45,21,2,0,6,6,0,3,1,5,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,44662,1030,43632,42388,39700,132,2268,201,8,79,1244,1204,84,759,38,9,289,12,7,2,0,2,0,1,1,0,0,35,20,2,0,5,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,26703,23702,3001,613,430,153,12,265,0,183,0,0,183
PLST,WI,620,L6,00,000,0020016,620L600US55007,55007,2,3,55,01779806,007,27635994,0,7,Assembly District 7,N,59355,26485,+42.9926784,-087.9740405,L3,55007,59355,51445,36978,4259,852,2934,25,6397,7910,7572,1063,766,416,17,4865,81,50,4,182,15,1,51,8,41,12,317,108,18,3,74,13,1,70,7,12,0,0,0,8,0,2,1,0,0,0,0,19,8,0,9,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,59355,16045,43310,40769,33210,3923,455,2900,20,261,2541,2392,883,609,384,14,331,59,50,4,15,15,1,3,8,15,1,139,73,18,3,17,9,1,2,7,3,0,0,0,5,0,1,0,0,0,0,0,9,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,45717,40885,30942,3043,619,1975,16,4290,4832,4676,446,550,242,13,3136,56,28,4,121,8,0,34,8,21,9,145,47,8,0,28,5,0,38,4,5,0,0,0,8,0,2,0,0,0,0,0,10,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,45717,10197,35520,34017,28634,2882,362,1949,15,175,1503,1440,387,449,229,12,247,43,28,4,12,8,0,3,8,9,1,58,29,8,0,7,1,0,0,4,3,0,0,0,5,0,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26485,25101,1384,724,411,0,0,411,0,313,103,0,210
PLST,WI,620,L6,00,000,0020017,620L600US55008,55008,2,3,55,01779806,008,11034420,103122,8,Assembly District 8,N,53999,20335,+43.0150840,-087.9247132,L3,55008,53999,40915,13676,5381,1326,1936,32,18564,13084,12585,607,409,92,8,10644,135,31,3,392,12,6,195,2,32,17,441,110,10,4,138,11,0,136,4,4,4,6,0,12,1,1,0,0,0,0,0,58,9,0,45,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53999,38111,15888,14729,7605,4661,357,1894,18,194,1159,1042,474,201,73,6,107,98,29,2,23,11,2,3,2,10,1,104,65,9,4,6,7,0,2,3,1,0,6,0,0,1,0,0,0,0,0,0,13,5,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36690,28300,10334,3451,923,1198,25,12369,8390,8120,246,259,58,4,7042,70,3,1,253,11,2,141,1,17,12,225,58,6,2,43,5,0,84,3,0,4,6,0,12,1,1,0,0,0,0,0,45,6,0,35,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36690,24667,12023,11344,6730,3033,275,1179,15,112,679,600,208,156,52,2,78,64,3,0,16,11,2,3,1,3,1,70,43,6,2,4,5,0,0,3,0,0,6,0,0,1,0,0,0,0,0,0,9,2,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20335,18248,2087,294,42,0,0,42,0,252,0,0,252
PLST,WI,620,L6,00,000,0020018,620L600US55009,55009,2,3,55,01779806,009,20670552,69151,9,Assembly District 9,N,57339,21290,+42.9992726,-087.9430176,L3,55009,57339,45038,18852,4303,1360,3857,37,16629,12301,11677,719,456,169,12,9686,87,25,7,309,7,2,134,9,41,14,544,79,15,4,77,9,3,309,10,15,1,2,0,15,0,1,3,0,1,0,0,74,13,0,54,0,1,0,0,4,2,0,0,0,0,0,0,5,1,2,2,0,0,0,1,1,57339,34852,22487,21104,12918,3789,363,3816,23,195,1383,1278,568,257,150,12,140,58,22,7,34,2,0,4,6,15,3,86,46,13,4,2,3,1,2,9,1,0,2,0,2,0,1,0,0,0,0,0,18,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,40171,32262,14814,2907,995,2410,30,11106,7909,7542,273,292,73,10,6499,57,14,7,190,1,1,89,7,16,13,320,57,4,1,31,2,0,200,7,8,1,0,0,7,0,1,1,0,0,0,0,44,4,0,37,0,0,0,0,1,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,40171,22571,17600,16830,11313,2666,300,2393,17,141,770,707,230,190,63,10,111,41,14,7,25,0,0,4,4,5,3,55,36,3,1,0,2,0,2,7,1,0,0,0,2,0,1,0,0,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21290,19977,1313,337,92,0,1,91,0,245,0,0,245
PLST,WI,620,L6,00,000,0020019,620L600US55010,55010,2,3,55,01779806,010,19816758,1108706,10,Assembly District 10,N,52628,25616,+43.0916770,-087.9168625,L3,55010,52628,49498,15477,31578,200,1160,8,1075,3130,2829,850,213,317,16,943,223,63,4,151,9,0,13,13,10,4,273,135,27,0,37,4,0,27,15,16,1,2,0,8,0,1,0,0,0,0,0,28,8,0,15,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52628,3166,49462,47427,14793,31185,130,1135,3,181,2035,1853,766,179,298,16,234,208,61,2,69,6,0,0,12,1,1,170,116,24,0,8,2,0,0,12,4,1,2,0,0,0,1,0,0,0,0,0,12,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39057,37197,12988,22337,136,918,4,814,1860,1667,452,139,140,5,633,156,34,4,73,4,0,5,12,6,4,175,89,22,0,8,4,0,25,12,5,1,2,0,7,0,0,0,0,0,0,0,18,3,0,10,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39057,2059,36998,35807,12534,22129,91,902,3,148,1191,1063,421,121,133,5,141,150,34,2,39,4,0,0,11,1,1,123,82,20,0,5,2,0,0,9,2,1,2,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25616,22617,2999,137,105,96,9,0,0,32,0,0,32
