FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,WI,610,U6,00,000,0016039,610U600US55001,55001,2,3,55,01779806,001,3903201282,7110305992,1,State Senate District 1,N,184304,88083,+44.7248581,-087.3423149,LU,55001,184304,176507,167504,1496,1083,3179,75,3170,7797,7469,990,2132,669,39,3438,49,13,4,41,22,3,22,22,18,7,290,86,18,4,36,20,3,79,22,7,4,0,1,7,0,1,0,0,0,1,1,32,11,1,17,1,2,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,2,0,0,0,184304,7054,177250,171872,165959,1421,862,3154,71,405,5378,5191,941,2045,651,37,1383,36,13,4,23,22,3,0,21,10,2,176,83,17,3,16,19,3,1,22,7,0,0,1,4,0,0,0,0,0,0,0,8,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,143960,139566,133381,1033,805,2165,51,2131,4394,4220,339,1352,281,23,2114,28,7,4,21,3,3,14,17,9,5,153,63,9,1,5,7,1,46,8,6,1,0,1,3,0,0,0,0,0,1,1,19,7,0,10,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,143960,4280,139680,136635,132482,982,685,2149,51,286,3045,2940,323,1315,276,23,936,21,7,4,9,3,3,0,16,2,2,101,62,8,1,3,7,1,1,8,6,0,0,1,3,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,88083,74988,13095,2855,722,54,0,655,13,2133,1726,0,407
PLST,WI,610,U6,00,000,0016040,610U600US55002,55002,2,3,55,01779806,002,3624154320,50991703,2,State Senate District 2,N,183553,78979,+44.6147460,-088.5917891,LU,55002,183553,174098,157046,2442,9205,2932,34,2439,9455,9040,1124,3625,651,40,3201,197,31,9,45,24,9,51,12,11,10,366,184,13,3,23,31,5,60,12,8,1,4,0,9,2,4,4,1,0,1,1,45,10,2,12,7,1,6,1,2,0,1,0,3,0,0,0,3,0,2,0,0,1,0,1,1,183553,6949,176604,169606,155433,2362,8494,2903,33,381,6998,6725,1074,3416,629,40,1295,173,27,9,11,24,6,4,11,6,0,248,171,12,1,10,29,1,2,9,1,0,2,0,2,2,1,3,1,0,1,0,24,0,2,3,7,0,6,1,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,142211,137002,125009,1805,6440,2018,30,1700,5209,5002,343,2175,273,23,2015,68,10,5,32,9,3,26,9,5,6,177,81,9,1,10,13,5,31,9,6,0,0,0,6,0,0,4,1,0,0,1,28,10,2,5,2,0,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,142211,4078,138133,134249,124114,1756,6074,1999,29,277,3884,3749,334,2098,267,23,924,64,9,5,4,9,0,4,8,0,0,118,76,9,1,5,13,1,0,6,1,0,0,0,2,0,0,3,1,0,0,0,16,0,2,3,2,0,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,78979,74121,4858,2983,2318,1331,23,964,0,665,0,0,665
PLST,WI,610,U6,00,000,0016041,610U600US55003,55003,2,3,55,01779806,003,59340966,172273,3,State Senate District 3,N,170693,68110,+43.0000768,-087.9542978,LU,55003,170693,137398,69506,13943,3538,8727,94,41590,33295,31834,2389,1631,677,37,25195,303,106,14,883,34,9,380,19,114,43,1302,297,43,11,289,33,4,515,21,31,5,8,0,35,1,4,4,0,1,0,0,151,30,0,108,1,1,0,0,8,2,0,0,1,0,0,0,7,1,3,3,0,0,0,1,1,170693,89008,81685,76602,53733,12373,1175,8610,61,650,5083,4712,1925,1067,607,32,578,215,101,13,72,28,3,10,16,40,5,329,184,40,11,25,19,2,6,19,5,0,8,0,7,1,2,0,0,0,0,0,40,25,0,12,1,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,122578,101447,56090,9401,2537,5583,71,27765,21131,20338,965,1101,373,27,16677,183,45,12,564,20,3,264,16,54,34,690,162,18,3,102,12,0,322,14,13,5,6,0,27,1,4,1,0,0,0,0,99,14,0,77,1,0,0,0,4,2,0,0,1,0,0,0,4,1,3,0,0,0,0,0,0,122578,57435,65143,62191,46677,8581,937,5521,47,428,2952,2747,825,795,344,24,436,148,45,11,53,19,2,10,13,17,5,183,108,17,3,11,8,0,2,14,4,0,6,0,7,1,2,0,0,0,0,0,20,9,0,8,1,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,68110,63326,4784,1355,545,0,1,544,0,810,103,0,707
PLST,WI,610,U6,00,000,0016042,610U600US55004,55004,2,3,55,01779806,004,100579341,1758823,4,State Senate District 4,N,163208,72470,+43.1311599,-087.9843782,LU,55004,163208,154060,37396,101903,586,10388,54,3733,9148,8240,3297,545,571,28,2299,629,227,21,451,20,1,47,58,33,13,828,433,76,1,136,16,2,78,24,29,2,8,0,21,0,1,1,0,0,0,0,77,23,0,41,0,2,0,1,8,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,163208,9192,154016,147796,35724,100637,394,10332,34,675,6220,5637,3057,482,536,28,441,584,218,18,192,16,1,2,57,4,1,551,370,70,1,43,12,1,13,21,5,1,8,0,5,0,1,0,0,0,0,0,31,19,0,10,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,117035,111702,32289,69524,412,6819,45,2613,5333,4826,1598,405,277,8,1597,439,92,17,276,10,0,22,51,22,12,452,238,39,1,50,8,0,61,17,12,2,8,0,16,0,0,0,0,0,0,0,52,10,0,31,0,1,0,1,7,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,117035,5804,111231,107717,31226,68927,281,6790,32,461,3514,3186,1519,366,264,8,321,417,87,14,123,10,0,2,50,4,1,309,205,36,1,22,6,0,9,14,2,1,8,0,5,0,0,0,0,0,0,0,18,10,0,6,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,72470,65578,6892,1514,1076,109,38,927,2,438,0,0,438
PLST,WI,610,U6,00,000,0016043,610U600US55005,55005,2,3,55,01779806,005,196247887,1759177,5,State Senate District 5,N,179060,81447,+43.0406050,-088.0956417,LU,55005,179060,166922,144991,7777,856,9478,58,3762,12138,11420,1957,1618,1635,73,5529,161,81,3,200,7,2,58,42,40,14,657,260,46,4,106,30,1,131,25,29,6,5,0,11,0,2,1,0,0,0,0,59,8,0,44,0,0,0,0,5,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,179060,12330,166730,159730,141554,7462,583,9425,51,655,7000,6629,1801,1428,1592,72,1405,124,80,2,60,3,1,4,37,19,1,358,210,41,4,31,28,1,6,24,7,1,5,0,0,0,0,0,0,0,0,0,13,4,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141844,134774,118921,5528,648,6974,44,2659,7070,6700,822,1141,798,43,3574,95,30,1,93,3,2,48,31,10,9,333,139,22,1,54,16,0,67,12,8,2,1,0,8,0,2,1,0,0,0,0,36,4,0,28,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,141844,7727,134117,130095,116799,5380,464,6951,39,462,4022,3810,770,1041,771,42,1001,76,30,0,40,2,1,4,26,5,1,202,123,17,1,26,14,0,5,11,3,1,1,0,0,0,0,0,0,0,0,0,10,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81447,77588,3859,2893,1255,0,21,1211,23,1638,898,0,740
PLST,WI,610,U6,00,000,0016044,610U600US55006,55006,2,3,55,01779806,006,50656914,119154,6,State Senate District 6,N,162069,73660,+43.0688093,-087.9627645,LU,55006,162069,152486,37789,101529,801,7901,76,4390,9583,8613,3189,619,618,27,2447,748,178,31,555,28,5,72,32,43,21,843,422,62,4,132,34,1,84,37,26,3,10,0,24,0,4,0,0,0,0,0,120,23,0,84,0,4,0,0,6,0,0,0,2,0,1,0,7,2,4,1,0,0,0,0,0,162069,10858,151211,144913,35613,100066,531,7823,56,824,6298,5713,2978,530,579,26,402,688,166,30,239,22,3,4,32,14,0,541,354,60,4,28,27,0,8,33,9,0,10,0,5,0,3,0,0,0,0,0,44,19,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120166,114250,33838,71047,605,5503,69,3188,5916,5389,1581,457,419,22,1874,501,58,11,335,19,2,56,25,13,16,460,228,11,0,63,21,0,65,33,12,2,7,0,16,0,2,0,0,0,0,0,61,12,0,38,0,2,0,0,6,0,0,0,2,0,1,0,6,2,4,0,0,0,0,0,0,120166,7463,112703,108970,32213,70275,406,5450,51,575,3733,3416,1517,400,404,21,312,479,54,10,172,15,1,4,25,2,0,300,198,11,0,16,19,0,7,30,5,0,7,0,5,0,2,0,0,0,0,0,17,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73660,65740,7920,6557,1195,1089,37,69,0,5362,4252,0,1110
PLST,WI,610,U6,00,000,0016045,610U600US55007,55007,2,3,55,01779806,007,150298944,1407373067,7,State Senate District 7,N,177968,89929,+42.8456186,-087.8267685,LU,55007,177968,163028,139848,7996,1169,7117,55,6843,14940,14088,1941,1945,1571,78,7869,136,68,14,238,19,2,95,44,49,19,758,236,52,2,142,23,0,180,42,49,4,4,0,21,0,1,2,0,0,0,0,93,11,0,74,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,177968,20284,157684,150765,134234,7529,823,7035,39,1105,6919,6548,1723,1700,1516,75,1202,108,67,11,52,16,1,4,40,31,2,344,192,42,2,28,18,0,8,40,3,0,4,0,6,0,1,0,0,0,0,0,27,7,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150137,140139,121722,6351,930,5760,44,5332,9998,9522,921,1495,1015,62,5570,96,50,12,154,12,1,66,39,17,12,417,138,32,1,62,6,0,118,22,15,3,1,0,19,0,0,0,0,0,0,0,59,6,0,47,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150137,14042,136095,131389,117923,6115,674,5714,30,933,4706,4482,851,1351,991,61,980,84,50,10,37,11,1,4,35,14,2,209,121,28,1,19,4,0,5,22,2,0,1,0,6,0,0,0,0,0,0,0,15,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89929,84355,5574,6591,1402,0,0,1402,0,5189,4481,0,708
PLST,WI,610,U6,00,000,0016046,610U600US55008,55008,2,3,55,01779806,008,630607241,1052675334,8,State Senate District 8,N,182248,77682,+43.0989503,-087.8773145,LU,55008,182248,172726,148999,12780,489,8421,52,1985,9522,9051,1709,1293,1648,39,3948,119,37,7,132,5,3,28,51,30,2,439,143,37,4,62,13,5,89,36,42,0,2,0,5,0,1,0,0,0,0,0,32,4,1,17,0,2,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,182248,6582,175666,169352,147257,12554,362,8375,47,757,6314,6067,1613,1205,1624,36,1319,110,32,6,54,4,1,1,46,16,0,240,113,34,4,17,13,5,10,33,8,0,2,0,0,0,1,0,0,0,0,0,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142016,136716,119359,9465,383,6041,33,1435,5300,5045,717,882,670,21,2501,75,15,2,78,2,0,19,40,22,1,234,74,12,3,31,5,4,59,22,21,0,0,0,3,0,0,0,0,0,0,0,21,2,0,14,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,142016,4021,137995,134601,118320,9354,307,6023,28,569,3394,3264,679,838,665,20,893,70,12,2,38,1,0,1,35,10,0,125,63,12,3,7,5,4,6,20,5,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77682,74062,3620,2376,441,0,0,441,0,1935,1593,0,342
PLST,WI,610,U6,00,000,0016047,610U600US55009,55009,2,3,55,01779806,009,2060973176,4286696445,9,State Senate District 9,N,175990,79584,+44.0506142,-087.6592979,LU,55009,175990,166333,148751,2934,848,8782,45,4973,9657,9286,1227,1922,950,51,4827,44,18,0,89,9,6,69,58,15,1,337,140,16,4,24,17,0,79,19,27,2,0,0,4,1,3,0,0,0,0,1,27,7,4,10,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,6,175990,12465,163525,158224,145536,2807,602,8738,45,496,5301,5108,1158,1747,906,46,1088,32,18,0,29,9,5,5,57,8,0,178,100,16,0,7,17,0,12,19,2,0,0,0,2,0,3,0,0,0,0,0,15,7,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137725,132267,120774,1862,620,5582,32,3397,5458,5258,367,1314,336,32,3024,19,11,0,41,9,6,41,54,3,1,175,73,11,0,7,8,0,49,11,10,0,0,0,2,0,3,0,0,0,0,1,18,6,3,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,6,137725,7539,130186,127199,118994,1803,471,5555,32,344,2987,2872,355,1248,332,27,783,19,11,0,21,9,5,5,54,3,0,104,52,11,0,3,8,0,12,11,2,0,0,0,2,0,3,0,0,0,0,0,11,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79584,74041,5543,3189,1687,468,11,1208,0,1502,656,0,846
PLST,WI,610,U6,00,000,0016048,610U600US55010,55010,2,3,55,01779806,010,5368032603,189279665,10,State Senate District 10,N,183755,81179,+45.3325981,-092.4628650,LU,55010,183755,175632,168652,1476,1113,2488,62,1841,8123,7680,1082,2287,857,66,3195,58,9,5,35,17,2,33,12,19,3,377,171,20,0,35,24,8,58,42,5,8,0,0,4,0,0,1,0,0,0,1,59,31,0,15,1,0,3,3,3,0,2,0,1,0,0,0,7,7,0,0,0,0,0,0,0,183755,4917,178838,172527,167057,1422,947,2486,59,556,6311,5994,1025,2170,840,66,1773,55,7,5,11,16,2,4,10,10,0,263,156,19,0,10,19,7,0,42,4,1,0,0,4,0,0,0,0,0,0,1,47,30,0,8,0,0,3,3,1,0,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,143053,138119,133019,1076,816,1870,49,1289,4934,4712,455,1616,373,46,2132,34,0,5,13,4,2,14,8,7,3,183,87,4,0,9,6,6,44,21,1,0,0,0,4,0,0,0,0,0,0,1,37,28,0,7,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,143053,3099,139954,136074,132008,1052,713,1869,49,383,3880,3725,439,1554,371,46,1252,33,0,5,3,4,2,1,8,7,0,123,82,4,0,0,6,5,0,21,0,0,0,0,4,0,0,0,0,0,0,1,30,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,81179,71847,9332,7403,1452,343,68,1041,0,5951,5158,0,793
